yyyymm,ics_all,ice_all,icc_all,pssa_mean_all,pstk_mean_all,inv_r50_all
201301,73.8,66.6,85,34.2,48.7,206013
201302,77.6,70.2,89,34.3,52.4,281528
201303,78.6,70.8,90.7,34.7,50.9,274527
201304,76.4,67.8,89.9,37.8,54.5,215913
201305,84.5,75.8,98,35,55.9,336904
201306,84.1,77.8,93.8,34.9,55.8,227846
201307,85.1,76.5,98.6,35.6,54.2,201300
201308,82.1,73.7,95.2,30.9,56.6,316460
201309,77.5,67.8,92.6,34.9,53.9,288016
201310,73.2,62.5,89.9,34.8,53,283688
201311,75.1,66.8,88,34.3,57,316500
201312,82.5,72.1,98.6,31.1,56.7,264180
201401,81.2,71.2,96.8,36.6,57.9,326205
201402,81.6,72.7,95.4,34.6,55.1,264931
201403,80,70,95.7,32.9,56.5,227547
201404,84.1,74.7,98.7,33.9,56.3,264859
201405,81.9,73.7,94.5,34.8,58.7,227881
201406,82.5,73.5,96.6,32.6,58.1,263707
201407,81.8,71.8,97.4,33.8,55.9,325557
201408,82.5,71.3,99.8,35.8,55.8,354861
201409,84.6,75.4,98.9,33.3,59.4,276857
201410,86.9,79.6,98.3,37,57.2,267092
201411,88.8,79.9,102.7,36.4,59.9,277005
201412,93.6,86.4,104.8,35.3,61.5,279294
201501,98.1,91,109.3,35.5,60,313428
201502,95.4,88,106.9,35.3,60.5,359614
201503,93,85.3,105,35.1,58.8,311323
201504,95.9,88.8,107,37.6,60.4,287792
201505,90.7,84.2,100.8,36.7,58.2,230580
201506,96.1,87.8,108.9,35.2,63.1,271748
201507,93.1,84.1,107.2,35.6,58.5,275986
201508,91.9,83.4,105.1,37.4,57.9,351781
201509,87.2,78.2,101.2,33.6,51.5,264619
201510,90,82.1,102.3,36.8,55.6,345958
201511,91.3,82.9,104.3,35.5,52,281054
201512,92.6,82.7,108.1,34.4,56.1,282211
201601,92,82.7,106.4,33.9,50.2,235148
201602,91.7,81.9,106.8,34.1,51,227840
201603,91,81.5,105.6,35.4,55,273724
201604,89,77.6,106.7,35.6,52.7,269444
201605,94.7,84.9,109.9,35,55,283552
201606,93.5,82.4,110.8,35.2,54,258278
201607,90,77.8,109,35.2,54.8,231347
201608,89.8,78.7,107,34.9,55.6,206877
201609,91.2,82.7,104.2,34.6,59.4,233063
201610,87.2,76.8,103.2,37.9,54.7,363566
201611,93.8,85.2,107.3,33.8,54.4,266775
201612,98.2,89.5,111.9,34.5,56.1,263516
201701,98.5,90.3,111.3,36.6,58.5,287474
201702,96.3,86.5,111.5,37.5,60,277496
201703,96.9,86.5,113.2,37.9,61.4,271954
201704,97,87,112.7,36.6,58.7,364423
201705,97.1,87.7,111.7,36.2,59,276819
201706,95,83.8,112.4,38.1,59.1,369214
201707,93.4,80.5,113.4,35.7,59.2,328135
201708,96.8,87.7,110.9,36.8,62.7,334297
201709,95.1,84.4,111.7,36.7,62.9,265021
201710,100.7,90.5,116.5,38.2,64.5,383490
201711,98.5,88.9,113.5,38.7,62.2,359848
201712,95.9,84.3,113.8,34.5,62.4,368253
201801,95.7,86.3,110.5,36.7,66.7,287308
201802,99.7,90,114.9,38.6,63.8,467630
201803,101.4,88.8,121.2,39.2,60.2,341569
201804,98.8,88.4,114.9,36.8,60.8,365952
201805,98,89.1,111.8,34.5,59.4,375509
201806,98.2,86.3,116.5,35.9,62.7,314418
201807,97.9,87.3,114.4,37.8,60.6,324807
201808,96.2,87.1,110.3,36.8,63.5,448458
201809,100.1,90.5,115.2,37.4,62.7,363646
201810,98.6,89.3,113.1,38.8,62.3,436982
201811,97.5,88.1,112.3,39.9,60.5,347378
201812,98.3,87,116.1,36.8,57.2,287058
201901,91.2,79.9,108.8,39.6,56.6,379383
201902,93.8,84.4,108.5,38.4,57.1,342294
201903,98.4,88.8,113.3,37.7,59,382129
201904,97.2,87.4,112.3,39.3,60.6,427026
201905,100,93.5,110,38.6,63.3,366749
201906,98.2,89.3,111.9,37.8,60.8,384141
201907,98.4,90.5,110.7,36.6,64.1,325970
201908,89.8,79.9,105.3,40.1,57.4,438416
201909,93.2,83.4,108.5,39.7,56.8,475417
201910,95.5,84.2,113.2,39.7,57.1,355194
201911,96.8,87.3,111.6,39.7,61,439600
201912,99.3,88.9,115.5,41.4,63.8,392000
202001,99.8,90.5,114.4,40.6,65.6,371774
202002,101,92.1,114.8,41,65.6,452563
202003,89.1,79.7,103.7,43.1,57.6,391845
202004,71.8,70.1,74.3,43.9,56.2,299340
202005,72.3,65.9,82.3,42.5,53.9,384311
202006,78.1,72.3,87.1,42.3,55,354100
202007,72.5,65.9,82.8,43.5,56.3,356444
202008,74.1,68.5,82.9,42.4,56.8,396511
202009,80.4,75.6,87.8,43,60.6,385136
202010,81.8,79.2,85.9,42.8,60.3,380306
202011,76.9,70.5,87,42.1,58.3,430656
202012,80.7,74.6,90,41.2,59.8,419349
202101,79,74,86.7,40.6,58.6,444062
202102,76.8,70.7,86.2,39.3,60.4,427502
202103,84.9,79.7,93,41.7,64.6,449440
202104,88.3,82.7,97.2,41.7,62.3,475530
202105,82.9,78.8,89.4,38.9,64.8,498583
202106,85.5,83.5,88.6,41.3,61.9,488482
202107,81.2,79,84.5,40.9,61.2,378479
202108,70.3,65.1,78.5,37.1,58.7,460331
202109,72.8,68.1,80.1,40.1,60,487289
202110,71.7,67.9,77.7,39.8,60.7,441693
202111,67.4,63.5,73.6,38.3,62.6,461273
202112,70.6,68.3,74.2,40.4,63,463500
202201,67.2,64.1,72,42.2,58.6,464708
202202,62.8,59.4,68.2,38.7,54.8,444765
202203,59.4,54.3,67.2,39.1,53.6,387775
202204,65.2,62.5,69.4,39.8,56.6,490571
202205,58.4,55.2,63.3,39.8,50.9,448421
202206,50,47.5,53.8,36.3,46.2,468609
202207,51.5,47.3,58.1,38.3,41.2,358767
202208,58.2,58,58.6,35.1,48.4,440913
202209,58.6,58,59.7,36.6,44.5,330125
202210,59.9,56.2,65.6,38.6,43.2,377440
202211,56.7,55.5,58.7,38.5,43.8,331039
202212,59.8,60,59.6,39.4,47,488649
202301,64.9,62.6,68.5,38.7,46.9,493185
202302,66.9,64.5,70.7,37.7,47.3,400549
202303,62,59.2,66.3,37.8,45.7,381149
202304,63.7,60.6,68.5,40.2,50.4,376612
202305,59,55.1,65.1,36.2,48.6,421589
202306,64.2,61.1,68.9,37.6,52.5,480695
202307,71.5,68.3,76.5,38.1,54.5,541457
202308,69.4,65.4,75.5,36.2,55.8,433696
202309,67.8,65.7,71.1,39.6,51.9,427199
202310,63.8,59.3,70.6,35.4,54.4,467672
202311,61.3,56.8,68.3,35.9,51.1,468534
202312,69.7,67.4,73.3,37.5,57.2,468632
202401,79,77.1,81.9,41.7,61.6,539061
202402,76.9,75.2,79.4,37.6,59.2,453134
202403,79.4,77.4,82.5,42.8,61.3,454099
202404,77.2,76,79,38,61.9,562498
202405,69.1,68.8,69.6,34.6,56.8,487742